fr,requested_text_az,faithful_english,model_id,exported_records,distinct_series,missing_value_records,run_error_records,unresolved_unit_records,requirement_source,interpretation
FR1,"Ümumi Daxili Məhsulun (ÜDM) real artım, deflyator indeksi, dövlət və qeyri-dövlət sektorunun, neft və qeyri-neft sektorunun payı, onların artım və deflyator indeksləri tempinin proqnozlaşdırılması mümkün olmalıdır;","GDP real growth and deflator index, state/non-state and oil/non-oil shares, and their growth and deflator rates must be forecastable.",ministry_macro,378,29,12,12,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR1,"Ümumi Daxili Məhsulun (ÜDM) real artım, deflyator indeksi, dövlət və qeyri-dövlət sektorunun, neft və qeyri-neft sektorunun payı, onların artım və deflyator indeksləri tempinin proqnozlaşdırılması mümkün olmalıdır;","GDP real growth and deflator index, state/non-state and oil/non-oil shares, and their growth and deflator rates must be forecastable.",ministry_caem,86,8,2,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR1,"Ümumi Daxili Məhsulun (ÜDM) real artım, deflyator indeksi, dövlət və qeyri-dövlət sektorunun, neft və qeyri-neft sektorunun payı, onların artım və deflyator indeksləri tempinin proqnozlaşdırılması mümkün olmalıdır;","GDP real growth and deflator index, state/non-state and oil/non-oil shares, and their growth and deflator rates must be forecastable.",oxlon.corrected.20260917,570,25,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR2,"ÜDM istehsal strukturu (onların artım və deflyator indeksləri, ümumi buraxılışı, aralıq istehlakı, əlavə dəyəri) tempinin proqnozlaşdırılması mümkün olmalıdır;","GDP production structure, growth/deflator indices, gross output, intermediate consumption and value added must be forecastable.",ministry_macro,4303,247,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR2,"ÜDM istehsal strukturu (onların artım və deflyator indeksləri, ümumi buraxılışı, aralıq istehlakı, əlavə dəyəri) tempinin proqnozlaşdırılması mümkün olmalıdır;","GDP production structure, growth/deflator indices, gross output, intermediate consumption and value added must be forecastable.",ministry_caem,300,60,25,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR2,"ÜDM istehsal strukturu (onların artım və deflyator indeksləri, ümumi buraxılışı, aralıq istehlakı, əlavə dəyəri) tempinin proqnozlaşdırılması mümkün olmalıdır;","GDP production structure, growth/deflator indices, gross output, intermediate consumption and value added must be forecastable.",oxlon.corrected.20260917,524,25,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR3,Ümumi Daxili Məhsulun sahə strukturu (onların artım və deflyator indeksləri) tempinin proqnozlaşdırılması mümkün olmalıdır;,"GDP sector/branch structure, including growth and deflator indices, must be forecastable.",ministry_macro,864,48,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR3,Ümumi Daxili Məhsulun sahə strukturu (onların artım və deflyator indeksləri) tempinin proqnozlaşdırılması mümkün olmalıdır;,"GDP sector/branch structure, including growth and deflator indices, must be forecastable.",ministry_caem,300,60,25,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR3,Ümumi Daxili Məhsulun sahə strukturu (onların artım və deflyator indeksləri) tempinin proqnozlaşdırılması mümkün olmalıdır;,"GDP sector/branch structure, including growth and deflator indices, must be forecastable.",oxlon.corrected.20260917,465,26,0,0,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
FR4,AR-də istehsal olunan əsas məhsul növlərinin sahələr üzrə natural göstəricilərinin proqnozlaşıdırlması (o cümlədən aksizli məhsulların növləri üzrə) mümkün olmalıdır.,"Natural indicators of main products produced in Azerbaijan must be forecastable by branch, including excise-product types.",ministry_macro,3084,179,271,271,0,"MIIS_TT_.pdf §15.5.1, PDF page 37","Source mapping and output inventory, not an acceptance certificate."
