term,coefficient,driver,log_index_contribution,coefficient_source,driver_expression
CPI persistence,0.187176669615,0.02176149178151271,0.004073243557517743,MOE INF.xlsx / eq!E14,LN(AI24/AH24)
Current NEER change,-0.257578120001,0.17891719854957897,-0.046085155638246195,MOE INF.xlsx / eq!I14,LN(Mon!AJ116/Mon!AI116)
Lagged NEER change,-0.0706768056411,0.22842424904032055,-0.016144296253136958,MOE INF.xlsx / eq!M14,LN(Mon!AI116/Mon!AH116)
Food-price change,0.0890853926889,-0.03681894902549876,-0.0032800305323291493,MOE INF.xlsx / eq!Q14,LN(AJ29/AI29)
M1 change,0.1671903072,0.029156693390311003,0.004874716524862306,MOE INF.xlsx / eq!U14,LN(Mon!AJ103/Mon!AI103)
Oil-price term multiplied by zero,0.156106795562,0,0.0,MOE INF.xlsx / eq!AK14,LN(AJ27/AI27)*0
Lagged CPI gap term,-0.000874246077915,-0.015010739275121088,1.3123079937879261e-05,MOE INF.xlsx / eq!AO14,AI21
Fixed source term Y14,0.106807654769,1,0.106807654769,MOE INF.xlsx / eq!Y14,1
Fixed source term AC14,-0.0395696574524,1,-0.0395696574524,MOE INF.xlsx / eq!AC14,1
Disabled source term AG14,0.117692934013,0,0.0,MOE INF.xlsx / eq!AG14,0
Fixed source term AS14,0.00658308706842,1,0.00658308706842,MOE INF.xlsx / eq!AS14,1
Disabled source term AU14,-0.0504964925398,0,-0.0,MOE INF.xlsx / eq!AU14,0
Disabled source term AY14,0.0680621965258,0,0.0,MOE INF.xlsx / eq!AY14,0
