source_file,source_sheet,source_cell,year,concept,unit,input_kind,model_id,closure,value,vintage_id,owner,effective_date,provenance,reason
CAEM.xlsb,3a. Fiscal ,O320,2025,Consolidated framework employee compensation,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,O325,2025,Framework purchases of goods and services,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,O335,2025,Framework capital expenses,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,P320,2026,Consolidated framework employee compensation,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,P325,2026,Framework purchases of goods and services,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,P335,2026,Framework capital expenses,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,Q320,2027,Consolidated framework employee compensation,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,Q325,2027,Framework purchases of goods and services,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,Q335,2027,Framework capital expenses,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,R320,2028,Consolidated framework employee compensation,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,R325,2028,Framework purchases of goods and services,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,R335,2028,Framework capital expenses,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,S320,2029,Consolidated framework employee compensation,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,S325,2029,Framework purchases of goods and services,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
CAEM.xlsb,3a. Fiscal ,S335,2029,Framework capital expenses,mln AZN,original_hardcoded_fiscal_forecast,ministry_caem,,,,,,,
