model_id,scenario_id,vintage_id,series_id,concept,unit,frequency,year,value,status,data_status,source_file,source_sheet,source_cell,method,fr_id,error,fr_ids,coverage_scope,price_basis,unit_scale_unresolved,source_atom_id,caveat,source_value_type
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,gdp_growth,Real GDP growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B9,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Real growth, percent","[""FR1""]",direct_original_output_atom,constant-price GDP growth,false,ministry_caem:source:6a. SEI:row9,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,output_gap,Output gap / potential GDP,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B10,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Total output Gap, percent of potential  GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,domestic_demand_growth,Domestic demand growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B11,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Domestic Demand Growth, percent",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,consumption_growth,Total consumption growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B12,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR08,"Consumption growth, percent",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,private_consumption_growth,Private consumption growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B13,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR08,  Private,[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,public_consumption_growth,Public consumption growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B14,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR08,  Public,[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,investment_growth,Total real investment growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B15,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR06,"Total Investment growth, percent",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,exports_growth,Goods and services exports real growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B16,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR07,"Exports of G&S growth, percent",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,imports_growth,Goods and services imports real growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B17,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR07,"Imports of G&S growth, percent",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,cpi_avg,CPI inflation (period average),percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B19,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR09,CPI Inflation,"[""FR9""]",direct_original_output_atom,annual-average consumer-price inflation,false,ministry_caem:source:6a. SEI:row19,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,gdp_deflator,GDP deflator growth,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B20,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"GDP deflator, percent","[""FR1""]",direct_original_output_atom,implicit GDP deflator growth,false,ministry_caem:source:6a. SEI:row20,Exact original row now exported by the actual CAEM engine; source unit/header caveats preserved.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,policy_rate,Policy interest rate,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B21,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR09,"Policy Interest Rate, percent ",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,reer,Real effective exchange rate index,"index, 2010=100",annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B24,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR10,"Real effective exchange rate (Index, 2010=100)",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,reer_growth,Real effective exchange rate change,percent,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B25,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR10,"REER, percent change (+  appreciation)",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,fiscal_revenue_ratio,Fiscal revenue / GDP,percent GDP,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B28,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Revenue, percent of GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,fiscal_expenditure_ratio,Fiscal expenditure / GDP,percent GDP,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B29,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Expenditure, percent of GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,overall_fiscal_balance,Overall fiscal balance / GDP,percent GDP,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B30,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Overall fiscal balance (net lending), percent of GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,government_domestic_debt,Government domestic debt / GDP,percent GDP,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B32,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Government Domestic debt, percent of GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,government_external_debt,Government external debt / GDP,percent GDP,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B33,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Government External debt, percent of GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,government_total_debt,Total government debt / GDP,percent GDP,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B34,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR01,"Total Government debt, percent of GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,current_account,Current account / GDP,percent GDP,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B37,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR12,"Current Account, percent of GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
ministry_caem,oil_plus10,original_CAEM_2024_actual_2025_forecast,net_fdi,Net FDI / GDP,percent GDP,annual,2013,,unavailable_source_non_numeric,legacy_historical_input,CAEM.xlsb / native formula export,6a. SEI,B38,original_CAEM_formula_graph_and_HPP_HPF; corrected_per_year_two_residual_solver,FR12,"Net  FDI, percent of GDP",[],associated_model_indicator,source-defined; see source formula,false,,Associated model indicator; not proof of a direct FR atom.,original_literal
