model_id,input_id,source_file,source_sheet,source_cell,year,value,unit,observation_status,vintage_id,owner,effective_date,provenance,reason,mapping_approved_by,concept_definition,price_basis,time_aggregation,condition
ministry_macro,company_acg_oil_production_mmbbl,MOE OIL.xlsx,BP,AJ6,2025,,mmbbl,,,,,,,,ACG crude company production,physical volume,annual total,Confirm company plan definition and volume/export consistency; no aggregate crude proxy substitution.
ministry_macro,company_acg_oil_production_mmbbl,MOE OIL.xlsx,BP,AK6,2026,,mmbbl,,,,,,,,ACG crude company production,physical volume,annual total,Confirm company plan definition and volume/export consistency; no aggregate crude proxy substitution.
ministry_macro,company_acg_oil_production_mmbbl,MOE OIL.xlsx,BP,AL6,2027,,mmbbl,,,,,,,,ACG crude company production,physical volume,annual total,Confirm company plan definition and volume/export consistency; no aggregate crude proxy substitution.
ministry_macro,company_acg_oil_production_mmbbl,MOE OIL.xlsx,BP,AM6,2028,,mmbbl,,,,,,,,ACG crude company production,physical volume,annual total,Confirm company plan definition and volume/export consistency; no aggregate crude proxy substitution.
ministry_macro,company_acg_oil_production_mmbbl,MOE OIL.xlsx,BP,AN6,2029,,mmbbl,,,,,,,,ACG crude company production,physical volume,annual total,Confirm company plan definition and volume/export consistency; no aggregate crude proxy substitution.
ministry_macro,company_acg_oil_production_mmbbl,MOE OIL.xlsx,BP,AO6,2030,,mmbbl,,,,,,,,ACG crude company production,physical volume,annual total,Confirm company plan definition and volume/export consistency; no aggregate crude proxy substitution.
ministry_macro,source_world_crude_price_usd_bbl,MOE SNA.xlsx,IN,AJ5,2025,,USD/ barel,,,,,,,,source world crude benchmark price (benchmark unspecified),nominal world crude price,annual average,Source label does not establish Brent equality; confirm source crude benchmark before using a Brent series.
ministry_macro,source_world_crude_price_usd_bbl,MOE SNA.xlsx,IN,AK5,2026,,USD/ barel,,,,,,,,source world crude benchmark price (benchmark unspecified),nominal world crude price,annual average,Source label does not establish Brent equality; confirm source crude benchmark before using a Brent series.
ministry_macro,source_world_crude_price_usd_bbl,MOE SNA.xlsx,IN,AL5,2027,,USD/ barel,,,,,,,,source world crude benchmark price (benchmark unspecified),nominal world crude price,annual average,Source label does not establish Brent equality; confirm source crude benchmark before using a Brent series.
ministry_macro,source_world_crude_price_usd_bbl,MOE SNA.xlsx,IN,AM5,2028,,USD/ barel,,,,,,,,source world crude benchmark price (benchmark unspecified),nominal world crude price,annual average,Source label does not establish Brent equality; confirm source crude benchmark before using a Brent series.
ministry_macro,source_world_crude_price_usd_bbl,MOE SNA.xlsx,IN,AN5,2029,,USD/ barel,,,,,,,,source world crude benchmark price (benchmark unspecified),nominal world crude price,annual average,Source label does not establish Brent equality; confirm source crude benchmark before using a Brent series.
ministry_macro,source_world_crude_price_usd_bbl,MOE SNA.xlsx,IN,AO5,2030,,USD/ barel,,,,,,,,source world crude benchmark price (benchmark unspecified),nominal world crude price,annual average,Source label does not establish Brent equality; confirm source crude benchmark before using a Brent series.
