model_id,scenario_id,vintage_id,series_id,concept,unit,frequency,year,value,status,source_file,source_sheet,source_cell,method,owner_org,effective_date,provenance,reason
,,,cbar_target,Central bank inflation target,%,annual,2026,,,,,,,,,,
,,,cbar_target,Central bank inflation target,%,annual,2027,,,,,,,,,,
,,,cbar_target,Central bank inflation target,%,annual,2028,,,,,,,,,,
,,,cbar_target,Central bank inflation target,%,annual,2029,,,,,,,,,,
,,,cbar_target,Central bank inflation target,%,annual,2030,,,,,,,,,,
,,,import_price_infl,Import price inflation,%,annual,2026,,,,,,,,,,
,,,import_price_infl,Import price inflation,%,annual,2027,,,,,,,,,,
,,,import_price_infl,Import price inflation,%,annual,2028,,,,,,,,,,
,,,import_price_infl,Import price inflation,%,annual,2029,,,,,,,,,,
,,,import_price_infl,Import price inflation,%,annual,2030,,,,,,,,,,
,,,inv_foreign_realg,Foreign investment real growth,%,annual,2026,,,,,,,,,,
,,,inv_foreign_realg,Foreign investment real growth,%,annual,2027,,,,,,,,,,
,,,inv_foreign_realg,Foreign investment real growth,%,annual,2028,,,,,,,,,,
,,,inv_foreign_realg,Foreign investment real growth,%,annual,2029,,,,,,,,,,
,,,inv_foreign_realg,Foreign investment real growth,%,annual,2030,,,,,,,,,,
,,,oil_realg,Oil and gas real growth,%,annual,2026,,,,,,,,,,
,,,oil_realg,Oil and gas real growth,%,annual,2027,,,,,,,,,,
,,,oil_realg,Oil and gas real growth,%,annual,2028,,,,,,,,,,
,,,oil_realg,Oil and gas real growth,%,annual,2029,,,,,,,,,,
,,,oil_realg,Oil and gas real growth,%,annual,2030,,,,,,,,,,
,,,partner_gdp_realg,Partner GDP growth,%,annual,2026,,,,,,,,,,
,,,partner_gdp_realg,Partner GDP growth,%,annual,2027,,,,,,,,,,
,,,partner_gdp_realg,Partner GDP growth,%,annual,2028,,,,,,,,,,
,,,partner_gdp_realg,Partner GDP growth,%,annual,2029,,,,,,,,,,
,,,partner_gdp_realg,Partner GDP growth,%,annual,2030,,,,,,,,,,
,,,pop_avg,Average population,min nəfər,annual,2026,,,,,,,,,,
,,,pop_avg,Average population,min nəfər,annual,2027,,,,,,,,,,
,,,pop_avg,Average population,min nəfər,annual,2028,,,,,,,,,,
,,,pop_avg,Average population,min nəfər,annual,2029,,,,,,,,,,
,,,pop_avg,Average population,min nəfər,annual,2030,,,,,,,,,,
,,,state_capex_realg,State capital expenditure real growth,%,annual,2026,,,,,,,,,,
,,,state_capex_realg,State capital expenditure real growth,%,annual,2027,,,,,,,,,,
,,,state_capex_realg,State capital expenditure real growth,%,annual,2028,,,,,,,,,,
,,,state_capex_realg,State capital expenditure real growth,%,annual,2029,,,,,,,,,,
,,,state_capex_realg,State capital expenditure real growth,%,annual,2030,,,,,,,,,,
,,,usd_azn,Average AZN per USD,AZN/USD,annual,2026,,,,,,,,,,
,,,usd_azn,Average AZN per USD,AZN/USD,annual,2027,,,,,,,,,,
,,,usd_azn,Average AZN per USD,AZN/USD,annual,2028,,,,,,,,,,
,,,usd_azn,Average AZN per USD,AZN/USD,annual,2029,,,,,,,,,,
,,,usd_azn,Average AZN per USD,AZN/USD,annual,2030,,,,,,,,,,
